Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Shirin Vossoughi,Unit 1,PLAY,0:00:00,0:01:59,0:00:42,0:02:42
Shirin Vossoughi,Unit 2,STILL,0:01:59,0:01:59,0:02:42,0:09:16
Shirin Vossoughi,Unit 3,PLAY,0:00:00,0:01:59,0:09:16,0:11:16
Shirin Vossoughi,Unit 4,STILL,0:01:59,0:01:59,0:11:16,0:12:12
Shirin Vossoughi,Unit 5,JREV,0:01:59,0:00:00,0:12:12,0:12:16
Shirin Vossoughi,Unit 6,PLAY,0:00:00,0:00:05,0:12:16,0:12:22
Shirin Vossoughi,Unit 7,STILL,0:00:05,0:00:05,0:12:22,0:12:55
Shirin Vossoughi,Unit 8,PLAY,0:00:05,0:00:17,0:12:55,0:13:07
Shirin Vossoughi,Unit 9,STILL,0:00:17,0:00:17,0:13:07,0:13:16
Shirin Vossoughi,Unit 10,PLAY,0:00:17,0:00:33,0:13:16,0:13:32
Shirin Vossoughi,Unit 11,STILL,0:00:33,0:00:33,0:13:32,0:14:07
Shirin Vossoughi,Unit 12,PLAY,0:00:33,0:00:36,0:14:07,0:14:10
Shirin Vossoughi,Unit 13,STILL,0:00:36,0:00:36,0:14:10,0:15:06
Shirin Vossoughi,Unit 14,PLAY,0:00:36,0:00:50,0:15:06,0:15:20
Shirin Vossoughi,Unit 15,STILL,0:00:50,0:00:50,0:15:20,0:15:23
Shirin Vossoughi,Unit 16,PLAY,0:00:50,0:00:55,0:15:23,0:15:28
Shirin Vossoughi,Unit 17,STILL,0:00:55,0:00:55,0:15:28,0:15:59
Shirin Vossoughi,Unit 18,PLAY,0:00:55,0:01:00,0:15:59,0:16:03
Shirin Vossoughi,Unit 19,STILL,0:01:00,0:01:00,0:16:03,0:16:20
Shirin Vossoughi,Unit 20,PLAY,0:01:00,0:01:01,0:16:20,0:16:21
Shirin Vossoughi,Unit 21,STILL,0:01:01,0:01:01,0:16:21,0:16:24
Shirin Vossoughi,Unit 22,PLAY,0:01:01,0:01:05,0:16:24,0:16:29
Shirin Vossoughi,Unit 23,STILL,0:01:05,0:01:05,0:16:29,0:16:36
Shirin Vossoughi,Unit 24,PLAY,0:01:05,0:01:07,0:16:36,0:16:38
Shirin Vossoughi,Unit 25,STILL,0:01:07,0:01:07,0:16:38,0:16:50
Shirin Vossoughi,Unit 26,PLAY,0:01:07,0:01:11,0:16:50,0:16:54
Shirin Vossoughi,Unit 27,STILL,0:01:11,0:01:11,0:16:54,0:17:19
