Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst,OldTStartVid,OldTEndVid,OldTStartAnalyst,OldTEndAnalyst
Shirin Vossoughi,Unit 1,PLAY,0,119,42,162,0:00:00,0:01:59,0:00:42,0:02:42
Shirin Vossoughi,Unit 2,STILL,119,119,162,556,0:01:59,0:01:59,0:02:42,0:09:16
Shirin Vossoughi,Unit 3,PLAY,0,119,556,676,0:00:00,0:01:59,0:09:16,0:11:16
Shirin Vossoughi,Unit 4,STILL,119,119,676,732,0:01:59,0:01:59,0:11:16,0:12:12
Shirin Vossoughi,Unit 5,JREV,119,0,732,736,0:01:59,0:00:00,0:12:12,0:12:16
Shirin Vossoughi,Unit 6,PLAY,0,5,736,742,0:00:00,0:00:05,0:12:16,0:12:22
Shirin Vossoughi,Unit 7,STILL,5,5,742,775,0:00:05,0:00:05,0:12:22,0:12:55
Shirin Vossoughi,Unit 8,PLAY,5,17,775,787,0:00:05,0:00:17,0:12:55,0:13:07
Shirin Vossoughi,Unit 9,STILL,17,17,787,796,0:00:17,0:00:17,0:13:07,0:13:16
Shirin Vossoughi,Unit 10,PLAY,17,33,796,812,0:00:17,0:00:33,0:13:16,0:13:32
Shirin Vossoughi,Unit 11,STILL,33,33,812,847,0:00:33,0:00:33,0:13:32,0:14:07
Shirin Vossoughi,Unit 12,PLAY,33,36,847,850,0:00:33,0:00:36,0:14:07,0:14:10
Shirin Vossoughi,Unit 13,STILL,36,36,850,906,0:00:36,0:00:36,0:14:10,0:15:06
Shirin Vossoughi,Unit 14,PLAY,36,50,906,920,0:00:36,0:00:50,0:15:06,0:15:20
Shirin Vossoughi,Unit 15,STILL,50,50,920,923,0:00:50,0:00:50,0:15:20,0:15:23
Shirin Vossoughi,Unit 16,PLAY,50,55,923,928,0:00:50,0:00:55,0:15:23,0:15:28
Shirin Vossoughi,Unit 17,STILL,55,55,928,959,0:00:55,0:00:55,0:15:28,0:15:59
Shirin Vossoughi,Unit 18,PLAY,55,60,959,963,0:00:55,0:01:00,0:15:59,0:16:03
Shirin Vossoughi,Unit 19,STILL,60,60,963,980,0:01:00,0:01:00,0:16:03,0:16:20
Shirin Vossoughi,Unit 20,PLAY,60,61,980,981,0:01:00,0:01:01,0:16:20,0:16:21
Shirin Vossoughi,Unit 21,STILL,61,61,981,984,0:01:01,0:01:01,0:16:21,0:16:24
Shirin Vossoughi,Unit 22,PLAY,61,65,984,989,0:01:01,0:01:05,0:16:24,0:16:29
Shirin Vossoughi,Unit 23,STILL,65,65,989,996,0:01:05,0:01:05,0:16:29,0:16:36
Shirin Vossoughi,Unit 24,PLAY,65,67,996,998,0:01:05,0:01:07,0:16:36,0:16:38
Shirin Vossoughi,Unit 25,STILL,67,67,998,1010,0:01:07,0:01:07,0:16:38,0:16:50
Shirin Vossoughi,Unit 26,PLAY,67,71,1010,1014,0:01:07,0:01:11,0:16:50,0:16:54
Shirin Vossoughi,Unit 27,STILL,71,71,1014,1039,0:01:11,0:01:11,0:16:54,0:17:19
Shirin Vossoughi,Unit 28,JREV,71,66,1039,1040,0:01:11,0:01:06,0:17:19,0:17:20
Shirin Vossoughi,Unit 29,PLAY,66,74,1040,1048,0:01:06,0:01:14,0:17:20,0:17:28
Shirin Vossoughi,Unit 30,STILL,74,74,1048,1061,0:01:14,0:01:14,0:17:28,0:17:41
Shirin Vossoughi,Unit 31,PLAY,74,77,1061,1064,0:01:14,0:01:17,0:17:41,0:17:44
Shirin Vossoughi,Unit 32,JREV,77,72,1064,1065,0:01:17,0:01:12,0:17:44,0:17:45
Shirin Vossoughi,Unit 33,PLAY,72,76,1065,1068,0:01:12,0:01:16,0:17:45,0:17:48
Shirin Vossoughi,Unit 34,STILL,76,76,1068,1105,0:01:16,0:01:16,0:17:48,0:18:25
Shirin Vossoughi,Unit 35,PLAY,76,79,1105,1109,0:01:16,0:01:19,0:18:25,0:18:29
Shirin Vossoughi,Unit 36,STILL,79,79,1109,1111,0:01:19,0:01:19,0:18:29,0:18:31
Shirin Vossoughi,Unit 37,JREV,79,76,1111,1112,0:01:19,0:01:16,0:18:31,0:18:32
Shirin Vossoughi,Unit 38,PLAY,76,79,1112,1114,0:01:16,0:01:19,0:18:32,0:18:34
Shirin Vossoughi,Unit 39,JREV,79,70,1114,1115,0:01:19,0:01:10,0:18:34,0:18:35
