Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Rogers Hall & Ben Shapiro,Unit 1,STILL,0:00:00,0:00:00,0:00:00,0:02:16
Rogers Hall & Ben Shapiro,Unit 2,PLAY,0:00:00,0:01:59,0:02:16,0:04:16
Rogers Hall & Ben Shapiro,Unit 3,STILL,0:01:59,0:01:59,0:04:16,0:08:53
Rogers Hall & Ben Shapiro,Unit 4,FREV,0:01:59,0:01:24,0:08:53,0:08:56
Rogers Hall & Ben Shapiro,Unit 5,FFW,0:01:24,0:01:43,0:08:56,0:08:59
Rogers Hall & Ben Shapiro,Unit 6,FREV,0:01:43,0:01:06,0:08:59,0:09:03
Rogers Hall & Ben Shapiro,Unit 7,FFW,0:01:06,0:01:10,0:09:03,0:09:04
Rogers Hall & Ben Shapiro,Unit 8,FREV,0:01:10,0:01:06,0:09:04,0:09:07
Rogers Hall & Ben Shapiro,Unit 9,FFW,0:01:06,0:01:59,0:09:07,0:09:17
Rogers Hall & Ben Shapiro,Unit 10,STILL,0:01:59,0:01:59,0:09:17,0:09:22
Rogers Hall & Ben Shapiro,Unit 11,FREV,0:01:59,0:01:06,0:09:22,0:09:24
Rogers Hall & Ben Shapiro,Unit 12,STILL,0:01:06,0:01:06,0:09:24,0:09:31
Rogers Hall & Ben Shapiro,Unit 13,FREV,0:01:06,0:01:03,0:09:31,0:09:32
Rogers Hall & Ben Shapiro,Unit 14,FFW,0:01:03,0:01:05,0:09:32,0:09:33
Rogers Hall & Ben Shapiro,Unit 15,STILL,0:01:05,0:01:05,0:09:33,0:09:35
Rogers Hall & Ben Shapiro,Unit 16,FFW,0:01:05,0:01:07,0:09:35,0:09:36
Rogers Hall & Ben Shapiro,Unit 17,FREV,0:01:07,0:01:06,0:09:36,0:09:38
Rogers Hall & Ben Shapiro,Unit 18,STILL,0:01:07,0:01:07,0:09:38,0:09:40
Rogers Hall & Ben Shapiro,Unit 19,FREV,0:01:07,0:01:06,0:09:40,0:09:41
Rogers Hall & Ben Shapiro,Unit 20,STILL,0:01:06,0:01:06,0:09:41,0:09:50
Rogers Hall & Ben Shapiro,Unit 21,FFW,0:01:06,0:01:59,0:09:50,0:09:50
Rogers Hall & Ben Shapiro,Unit 22,STILL,0:01:59,0:01:59,0:09:50,0:22:49
Rogers Hall & Ben Shapiro,Unit 23,FREV,0:01:59,0:00:00,0:29:49,0:29:49
Rogers Hall & Ben Shapiro,Unit 24,STILL,0:00:00,0:00:00,0:29:49,0:30:02
Rogers Hall & Ben Shapiro,Unit 25,PLAY,0:00:00,0:00:11,0:30:02,0:30:14
Rogers Hall & Ben Shapiro,Unit 26,STILL,0:00:11,0:00:11,0:30:14,0:30:28
Rogers Hall & Ben Shapiro,Unit 27,PLAY,0:00:11,0:00:22,0:30:28,0:30:39
Rogers Hall & Ben Shapiro,Unit 28,STILL,0:00:22,0:00:22,0:30:39,0:32:37
Rogers Hall & Ben Shapiro,Unit 29,PLAY,0:00:22,0:00:31,0:32:37,0:32:45
Rogers Hall & Ben Shapiro,Unit 30,STILL,0:00:31,0:00:31,0:32:49,0:33:49
Rogers Hall & Ben Shapiro,Unit 31,PLAY,0:00:31,0:00:43,0:33:49,0:34:01
Rogers Hall & Ben Shapiro,Unit 32,STILL,0:00:43,0:00:43,0:34:01,0:34:55
Rogers Hall & Ben Shapiro,Unit 33,PLAY,0:00:43,0:00:56,0:34:55,0:35:08
Rogers Hall & Ben Shapiro,Unit 34,STILL,0:00:56,0:00:56,0:35:08,0:35:39
Rogers Hall & Ben Shapiro,Unit 35,PLAY,0:00:56,0:01:11,0:35:39,0:35:54
Rogers Hall & Ben Shapiro,Unit 36,STILL,0:01:11,0:01:11,0:35:54,0:36:06
Rogers Hall & Ben Shapiro,Unit 37,FREV,0:01:11,0:01:06,0:36:06,0:36:08
Rogers Hall & Ben Shapiro,Unit 38,FFW,0:01:06,0:01:22,0:36:08,0:36:14
Rogers Hall & Ben Shapiro,Unit 39,FREV,0:01:22,0:01:20,0:36:14,0:36:14
Rogers Hall & Ben Shapiro,Unit 40,FFW,0:01:20,0:01:24,0:36:14,0:36:16
Rogers Hall & Ben Shapiro,Unit 41,FREV,0:01:24,0:01:18,0:36:16,0:36:18
Rogers Hall & Ben Shapiro,Unit 42,FFW,0:01:18,0:01:23,0:36:18,0:36:20
Rogers Hall & Ben Shapiro,Unit 43,STILL,0:01:23,0:01:23,0:36:20,0:38:54
Rogers Hall & Ben Shapiro,Unit 44,FREV,0:01:23,0:00:00,0:38:54,0:38:55
Rogers Hall & Ben Shapiro,Unit 45,STILL,0:00:00,0:00:00,0:38:55,0:40:07
Rogers Hall & Ben Shapiro,Unit 46,PLAY,0:00:00,0:01:59,0:40:07,0:42:07
Rogers Hall & Ben Shapiro,Unit 47,STILL,0:01:59,0:01:59,0:42:07,0:42:09
Rogers Hall & Ben Shapiro,Unit 48,FREV,0:01:59,0:01:03,0:42:09,0:42:17
Rogers Hall & Ben Shapiro,Unit 49,STILL,0:01:03,0:01:03,0:42:17,0:42:27
Rogers Hall & Ben Shapiro,Unit 50,PLAY,0:01:03,0:01:08,0:42:27,0:42:33
Rogers Hall & Ben Shapiro,Unit 51,JREV,0:01:08,0:00:50,0:42:33,0:42:36
Rogers Hall & Ben Shapiro,Unit 52,PLAY,0:00:50,0:01:19,0:42:36,0:43:06
Rogers Hall & Ben Shapiro,Unit 53,STILL,0:01:19,0:01:19,0:43:06,0:54:53
