Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Unit 1,0,0,119,136,255
Unit 2,2,119,92,533,535
Unit 3,2,92,84,536,537
Unit 4,1,84,103,537,539
Unit 5,2,103,73,539,542
Unit 6,1,74,60,543,544
Unit 7,1,60,67,544,545
Unit 8,2,67,66,545,546
Unit 9,1,66,70,546,547
Unit 10,2,70,67,547,548
Unit 11,2,67,66,548,549
Unit 12,1,66,119,549,556
Unit 13,2,119,66,562,564
Unit 14,2,66,63,571,572
Unit 15,1,63,66,572,573
Unit 16,2,66,65,573,583
Unit 17,1,65,67,574,575
Unit 18,2,67,66,575,576
Unit 19,1,66,67,576,577
Unit 20,2,67,66,577,578
Unit 21,0,66,119,590,591
Unit 22,0,0,11,1802,1813
Unit 23,0,11,23,1828,1840
Unit 24,0,23,31,1957,1965
Unit 25,0,31,43,2029,2042
Unit 26,0,43,56,2096,2107
Unit 27,0,56,71,2139,2154
Unit 28,2,71,66,2166,2168
Unit 29,1,66,82,2169,2173
Unit 30,2,82,80,2173,2174
Unit 31,1,80,84,2174,2176
Unit 32,2,84,78,2176,2177
Unit 33,1,78,83,2178,2180
Unit 34,2,83,0,2334,2335
Unit 35,0,0,119,2408,2527
Unit 36,2,119,63,2529,2536
Unit 37,0,63,68,2546,2551
Unit 38,0,50,79,2556,2585
