Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst,OldTStartVid,OldTEndVid,OldTStartAnalyst,OldTEndAnalyst
Jurgen Streeck,Unit 1,PLAY,0,119,9,128,0:00:00,0:01:59,0:00:09,0:02:08
Jurgen Streeck,Unit 2,STILL,119,119,128,134,0:01:59,0:01:59,0:02:08,0:02:14
Jurgen Streeck,Unit 3,FREV,119,0,134,138,0:01:59,0:00:00,0:02:14,0:02:18
Jurgen Streeck,Unit 4,STILL,0,0,138,151,0:00:00,0:00:00,0:02:18,0:02:31
Jurgen Streeck,Unit 5,PLAY,0,5,151,156,0:00:00,0:00:05,0:02:31,0:02:36
Jurgen Streeck,Unit 6,FREV,5,0,156,161,0:00:05,0:00:00,0:02:36,0:02:41
Jurgen Streeck,Unit 7,PLAY,0,2,160,163,0:00:00,0:00:02,0:02:40,0:02:43
Jurgen Streeck,Unit 8,STILL,2,2,163,165,0:00:02,0:00:02,0:02:43,0:02:45
Jurgen Streeck,Unit 9,PLAY,2,9,165,172,0:00:02,0:00:09,0:02:45,0:02:52
Jurgen Streeck,Unit 10,STILL,9,9,172,180,0:00:09,0:00:09,0:02:52,0:03:00
Jurgen Streeck,Unit 11,PLAY,9,17,180,188,0:00:09,0:00:17,0:03:00,0:03:08
Jurgen Streeck,Unit 12,STILL,17,17,188,189,0:00:17,0:00:17,0:03:08,0:03:09
Jurgen Streeck,Unit 13,PLAY,17,30,189,204,0:00:17,0:00:30,0:03:09,0:03:24
Jurgen Streeck,Unit 14,STILL,30,30,214,206,0:00:30,0:00:30,0:03:34,0:03:26
Jurgen Streeck,Unit 15,PLAY,30,76,206,252,0:00:30,0:01:16,0:03:26,0:04:12
Jurgen Streeck,Unit 16,FREV,76,0,252,256,0:01:16,0:00:00,0:04:12,0:04:16
Jurgen Streeck,Unit 17,PLAY,0,2,256,258,0:00:00,0:00:02,0:04:16,0:04:18
Jurgen Streeck,Unit 18,STILL,2,2,258,275,0:00:02,0:00:02,0:04:18,0:04:35
Jurgen Streeck,Unit 19,PLAY,2,3,275,276,0:00:02,0:00:03,0:04:35,0:04:36
Jurgen Streeck,Unit 20,STILL,3,3,276,278,0:00:03,0:00:03,0:04:36,0:04:38
Jurgen Streeck,Unit 21,FREV,3,1,278,282,0:00:03,0:00:01,0:04:38,0:04:42
Jurgen Streeck,Unit 22,PLAY,1,3,282,284,0:00:01,0:00:03,0:04:42,0:04:44
Jurgen Streeck,Unit 23,STILL,3,3,284,296,0:00:03,0:00:03,0:04:44,0:04:56
Jurgen Streeck,Unit 24,FREV,3,1,296,298,0:00:03,0:00:01,0:04:56,0:04:58
Jurgen Streeck,Unit 25,PLAY,1,9,298,306,0:00:01,0:00:09,0:04:58,0:05:06
Jurgen Streeck,Unit 26,STILL,9,9,306,312,0:00:09,0:00:09,0:05:06,0:05:12
Jurgen Streeck,Unit 27,PLAY,9,17,312,320,0:00:09,0:00:17,0:05:12,0:05:20
Jurgen Streeck,Unit 28,FREV,17,8,320,324,0:00:17,0:00:08,0:05:20,0:05:24
Jurgen Streeck,Unit 29,PLAY,8,29,324,345,0:00:08,0:00:29,0:05:24,0:05:45
Jurgen Streeck,Unit 30,STILL,29,29,345,351,0:00:29,0:00:29,0:05:45,0:05:51
Jurgen Streeck,Unit 31,FREV,29,27,351,352,0:00:29,0:00:27,0:05:51,0:05:52
Jurgen Streeck,Unit 32,STILL,27,27,352,359,0:00:27,0:00:27,0:05:52,0:05:59
Jurgen Streeck,Unit 33,PLAY,27,57,359,389,0:00:27,0:00:57,0:05:59,0:06:29
Jurgen Streeck,Unit 34,STILL,57,57,389,392,0:00:57,0:00:57,0:06:29,0:06:32
Jurgen Streeck,Unit 35,FREV,57,46,392,397,0:00:57,0:00:46,0:06:32,0:06:37
Jurgen Streeck,Unit 36,PLAY,46,52,397,403,0:00:46,0:00:52,0:06:37,0:06:43
Jurgen Streeck,Unit 37,STILL,52,52,403,407,0:00:52,0:00:52,0:06:43,0:06:47
Jurgen Streeck,Unit 38,PLAY,52,52,407,408,0:00:52,0:00:52,0:06:47,0:06:48
Jurgen Streeck,Unit 39,STILL,52,52,408,457,0:00:52,0:00:52,0:06:48,0:07:37
Jurgen Streeck,Unit 40,PLAY,52,55,457,460,0:00:52,0:00:55,0:07:37,0:07:40
