Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Jurgen Streeck,Unit 1,PLAY,0:00:00,0:01:59,0:00:09,0:02:08
Jurgen Streeck,Unit 2,STILL,0:01:59,0:01:59,0:02:08,0:02:14
Jurgen Streeck,Unit 3,FREV,0:01:59,0:00:00,0:02:14,0:02:18
Jurgen Streeck,Unit 4,STILL,0:00:00,0:00:00,0:02:18,0:02:31
Jurgen Streeck,Unit 5,PLAY,0:00:00,0:00:05,0:02:31,0:02:36
Jurgen Streeck,Unit 6,FREV,0:00:05,0:00:00,0:02:36,0:02:41
Jurgen Streeck,Unit 7,PLAY,0:00:00,0:00:02,0:02:41,0:02:43
Jurgen Streeck,Unit 8,STILL,0:00:02,0:00:02,0:02:43,0:02:45
Jurgen Streeck,Unit 9,PLAY,0:00:02,0:00:09,0:02:45,0:02:52
Jurgen Streeck,Unit 10,STILL,0:00:09,0:00:09,0:02:52,0:03:00
Jurgen Streeck,Unit 11,PLAY,0:00:09,0:00:17,0:03:00,0:03:08
Jurgen Streeck,Unit 12,STILL,0:00:17,0:00:17,0:03:08,0:03:09
Jurgen Streeck,Unit 13,PLAY,0:00:17,0:00:30,0:03:09,0:03:24
Jurgen Streeck,Unit 14,STILL,0:00:30,0:00:30,0:03:24,0:03:26
Jurgen Streeck,Unit 15,PLAY,0:00:30,0:01:16,0:03:26,0:04:12
Jurgen Streeck,Unit 16,FREV,0:01:16,0:00:00,0:04:12,0:04:16
Jurgen Streeck,Unit 17,PLAY,0:00:00,0:00:02,0:04:16,0:04:18
Jurgen Streeck,Unit 18,STILL,0:00:02,0:00:02,0:04:18,0:04:35
Jurgen Streeck,Unit 19,PLAY,0:00:02,0:00:03,0:04:35,0:04:36
Jurgen Streeck,Unit 20,STILL,0:00:03,0:00:03,0:04:36,0:04:38
Jurgen Streeck,Unit 21,FREV,0:00:03,0:00:01,0:04:38,0:04:42
Jurgen Streeck,Unit 22,PLAY,0:00:01,0:00:03,0:04:42,0:04:44
Jurgen Streeck,Unit 23,STILL,0:00:03,0:00:03,0:04:44,0:04:56
Jurgen Streeck,Unit 24,FREV,0:00:03,0:00:01,0:04:56,0:04:58
Jurgen Streeck,Unit 25,PLAY,0:00:01,0:00:09,0:04:58,0:05:06
Jurgen Streeck,Unit 26,STILL,0:00:09,0:00:09,0:05:06,0:05:12
Jurgen Streeck,Unit 27,PLAY,0:00:09,0:00:17,0:05:12,0:05:20
Jurgen Streeck,Unit 28,FREV,0:00:17,0:00:08,0:05:20,0:05:24
Jurgen Streeck,Unit 29,PLAY,0:00:08,0:00:29,0:05:24,0:05:45
Jurgen Streeck,Unit 30,STILL,0:00:29,0:00:29,0:05:45,0:05:51
Jurgen Streeck,Unit 31,FREV,0:00:29,0:00:27,0:05:51,0:05:52
Jurgen Streeck,Unit 32,STILL,0:00:27,0:00:27,0:05:52,0:05:59
Jurgen Streeck,Unit 33,PLAY,0:00:27,0:00:57,0:05:59,0:06:29
Jurgen Streeck,Unit 34,STILL,0:00:57,0:00:57,0:06:29,0:06:32
Jurgen Streeck,Unit 35,FREV,0:00:57,0:00:46,0:06:32,0:06:37
Jurgen Streeck,Unit 36,PLAY,0:00:46,0:00:52,0:06:37,0:06:43
Jurgen Streeck,Unit 37,STILL,0:00:52,0:00:52,0:06:43,0:06:47
Jurgen Streeck,Unit 38,PLAY,0:00:52,0:00:52,0:06:47,0:06:48
Jurgen Streeck,Unit 39,STILL,0:00:52,0:00:52,0:06:48,0:07:37
Jurgen Streeck,Unit 40,PLAY,0:00:52,0:00:55,0:07:37,0:07:40
Jurgen Streeck,Unit 41,FREV,0:00:55,0:00:49,0:07:40,0:07:45
Jurgen Streeck,Unit 42,STILL,0:00:49,0:00:49,0:07:45,0:07:49
