Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Rogoff & Dayton ,Unit 1,STILL,0:01:59,0:01:59,0:00:08,0:02:27
Rogoff & Dayton ,Unit 2,STILL,0:00:00,0:00:00,0:02:27,0:02:52
Rogoff & Dayton ,Unit 3,PLAY,0:00:00,0:01:59,0:02:52,0:04:52
Rogoff & Dayton ,Unit 4,STILL,0:01:59,0:01:59,0:04:52,0:06:20
Rogoff & Dayton ,Unit 5,PLAY,0:00:00,0:00:16,0:06:20,0:06:37
Rogoff & Dayton ,Unit 6,STILL,0:00:16,0:00:16,0:06:36,0:06:43
Rogoff & Dayton ,Unit 7,PLAY,0:00:16,0:01:04,0:06:43,0:07:30
Rogoff & Dayton ,Unit 8,FREV,0:01:04,0:00:00,0:07:30,0:07:32
Rogoff & Dayton ,Unit 9,STILL,0:00:00,0:00:00,0:07:32,0:07:35
Rogoff & Dayton ,Unit 10,PLAY,0:00:00,0:00:02,0:07:35,0:07:39
Rogoff & Dayton ,Unit 11,STILL,0:00:02,0:00:02,0:07:39,0:07:42
Rogoff & Dayton ,Unit 12,PLAY,0:00:02,0:01:59,0:07:42,0:09:40
Rogoff & Dayton ,Unit 13,STILL,0:01:59,0:01:59,0:09:40,0:11:39
Rogoff & Dayton ,Unit 14,PLAY,0:00:00,0:01:59,0:11:39,0:13:39
Rogoff & Dayton ,Unit 15,STILL,0:01:59,0:01:59,0:13:39,0:15:30
Rogoff & Dayton ,Unit 16,PLAY,0:00:00,0:00:50,0:15:30,0:16:20
Rogoff & Dayton ,Unit 17,STILL,0:00:50,0:00:50,0:16:20,0:18:03
Rogoff & Dayton ,Unit 18,JREV,0:00:50,0:00:00,0:18:03,0:18:04
Rogoff & Dayton ,Unit 19,STILL,0:00:00,0:00:00,0:18:04,0:18:08
Rogoff & Dayton ,Unit 20,PLAY,0:00:00,0:00:05,0:18:08,0:18:13
Rogoff & Dayton ,Unit 21,STILL,0:00:05,0:00:05,0:18:13,0:18:22
Rogoff & Dayton ,Unit 22,PLAY,0:00:05,0:01:59,0:18:22,0:20:17
Rogoff & Dayton ,Unit 23,STILL,0:01:59,0:01:59,0:20:17,0:23:14
Rogoff & Dayton ,Unit 24,PLAY,0:00:00,0:01:59,0:23:14,0:25:25
Rogoff & Dayton ,Unit 25,STILL,0:01:59,0:01:59,0:25:25,0:26:27
Rogoff & Dayton ,Unit 26,PLAY,0:00:00,0:00:01,0:26:27,0:26:28
