Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst,,,,,,NOTES
Unit 1,0,0,119,172,292,,,,,,no audio
Unit 2,0,1,16,380,397,,,,,,
Unit 3,0,16,64,403,450,,,,,,
Unit 4,0,17,58,404,444,,,,,,"*NOT VISIBLE TO ANALYSTS (only audio, continuation of the playing in unit 3)"
Unit 5,2,64,0,450,452,,,,,,
Unit 6,0,0,2,454,456,,,,,,
Unit 7,0,2,119,461,579,,,,,,
Unit 8,0,0,119,699,819,,,,,,
Unit 9,0,0,50,931,982,,,,,,
Unit 10,0,0,5,1087,1092,,,,,,
Unit 11,0,5,119,1101,1216,,,,,,
Unit 12,0,0,119,1404,1524,,,,,,
Unit 13,0,0,2,1587,1588,,,,,,
Unit 14,2,2,0,1718,1719,,,,,,
Unit 15,0,0,1,1822,1823,,,,,,
Unit 16,0,1,3,1826,1828,,,,,,
Unit 17,0,3,19,1853,1870,,,,,,
Unit 18,2,19,0,1881,1883,,,,,,
Unit 19,0,0,49,1885,1935,,,,,,
Unit 20,0,49,50,1939,1940,,,,,,
Unit 21,2,50,37,1952,1958,,,,,,
Unit 22,0,37,52,1961,1977,,,,,,
Unit 23,2,52,31,1982,1984,,,,,,
Unit 24,0,31,52,1986,2007,,,,,,
Unit 25,2,52,38,2008,2010,,,,,,
Unit 26,0,38,39,2012,2013,,,,,,
Unit 27,2,39,0,2060,2064,,,,,,
Unit 28,1,0,117,2064,2077,,,,,,
Unit 29,2,117,0,2084,2085,,,,,,
Unit 30,1,0,26,2313,2315,,,,,,
Unit 31,2,26,0,2318,2319,,,,,,
Unit 32,2,14,0,2337,2339,,,,,,
Unit 33,1,0,2,2339,2340,,,,,,
Unit 34,1,2,119,2341,2363,,,,,,
Unit 35,2,119,20,2379,2381,,,,,,
Unit 36,1,20,119,2381,2382,,,,,,
Unit 37,2,119,85,2384,2390,,,,,,
Unit 38,2,85,28,2394,2404,,,,,,
Unit 39,2,28,0,2406,2411,,,,,,
Unit 40,1,0,55,2413,2423,,,,,,
Unit 41,1,55,119,2429,2441,,,,,,
