Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst,OldTStartVid,OldTEndVid,OldTStartAnalyst,OldTEndAnalyst,Change note
Miriam Sherin,Unit 1,PLAY,0,119,11,129,0:00:00,0:01:59,0:00:11,0:02:09,(RH) Play starts 3 seconds later.
Miriam Sherin,Unit 2,STILL,119,119,129,351,0:01:59,0:01:59,0:02:09,0:05:51,
Miriam Sherin,Unit 3,PLAY,0,3,351,355,0:00:00,0:00:03,0:05:51,0:05:55,
Miriam Sherin,Unit 4,STILL,3,3,355,389,0:00:03,0:00:03,0:05:55,0:06:29,
Miriam Sherin,Unit 5,PLAY,3,9,389,395,0:00:03,0:00:09,0:06:29,0:06:35,
Miriam Sherin,Unit 6,STILL,9,9,395,415,0:00:09,0:00:09,0:06:35,0:06:55,
Miriam Sherin,Unit 7,FREV,9,0,415,418,0:00:09,0:00:00,0:06:55,0:06:58,
Miriam Sherin,Unit 8,STILL,0,0,418,434,0:00:00,0:00:00,0:06:58,0:07:14,
Miriam Sherin,Unit 9,PLAY,0,13,434,448,0:00:00,0:00:13,0:07:14,0:07:28,
Miriam Sherin,Unit 10,STILL,13,13,448,458,0:00:13,0:00:13,0:07:28,0:07:38,
Miriam Sherin,Unit 11,FREV,13,10,458,461,0:00:13,0:00:10,0:07:38,0:07:41,
Miriam Sherin,Unit 12,PLAY,10,20,461,471,0:00:10,0:00:20,0:07:41,0:07:51,
Miriam Sherin,Unit 13,STILL,20,20,471,479,0:00:20,0:00:20,0:07:51,0:07:59,
Miriam Sherin,Unit 14,FREV,20,18,479,482,0:00:20,0:00:18,0:07:59,0:08:02,
Miriam Sherin,Unit 15,PLAY,18,26,482,490,0:00:18,0:00:26,0:08:02,0:08:10,
Miriam Sherin,Unit 16,STILL,26,26,490,516,0:00:26,0:00:26,0:08:10,0:08:36,
Miriam Sherin,Unit 17,FREV,26,19,516,519,0:00:26,0:00:19,0:08:36,0:08:39,
