Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Miriam Sherin,Unit 1,PLAY,0:00:00,0:01:59,0:00:11,0:02:09
Miriam Sherin,Unit 2,STILL,0:01:59,0:01:59,0:02:09,0:05:51
Miriam Sherin,Unit 3,PLAY,0:00:00,0:00:03,0:05:51,0:05:55
Miriam Sherin,Unit 4,STILL,0:00:03,0:00:03,0:05:55,0:06:29
Miriam Sherin,Unit 5,PLAY,0:00:03,0:00:09,0:06:29,0:06:35
Miriam Sherin,Unit 6,STILL,0:00:09,0:00:09,0:06:35,0:06:55
Miriam Sherin,Unit 7,FREV,0:00:09,0:00:00,0:06:55,0:06:58
Miriam Sherin,Unit 8,STILL,0:00:00,0:00:00,0:06:58,0:07:14
Miriam Sherin,Unit 9,PLAY,0:00:00,0:00:13,0:07:14,0:07:28
Miriam Sherin,Unit 10,STILL,0:00:13,0:00:13,0:07:28,0:07:38
Miriam Sherin,Unit 11,FREV,0:00:13,0:00:10,0:07:38,0:07:41
Miriam Sherin,Unit 12,PLAY,0:00:10,0:00:20,0:07:41,0:07:51
Miriam Sherin,Unit 13,STILL,0:00:20,0:00:20,0:07:51,0:07:59
Miriam Sherin,Unit 14,FREV,0:00:20,0:00:18,0:07:59,0:08:02
Miriam Sherin,Unit 15,PLAY,0:00:18,0:00:26,0:08:02,0:08:10
Miriam Sherin,Unit 16,STILL,0:00:26,0:00:26,0:08:10,0:08:36
Miriam Sherin,Unit 17,FREV,0:00:26,0:00:19,0:08:36,0:08:39
Miriam Sherin,Unit 18,PLAY,0:00:19,0:00:25,0:08:39,0:08:47
Miriam Sherin,Unit 19,STILL,0:00:25,0:00:25,0:08:47,0:08:55
Miriam Sherin,Unit 20,FREV,0:00:25,0:00:16,0:08:55,0:08:57
Miriam Sherin,Unit 21,PLAY,0:00:16,0:00:21,0:08:57,0:09:03
Miriam Sherin,Unit 22,STILL,0:00:21,0:00:21,0:09:03,0:09:18
Miriam Sherin,Unit 23,FREV,0:00:21,0:00:18,0:09:18,0:09:20
Miriam Sherin,Unit 24,PLAY,0:00:18,0:00:37,0:09:20,0:09:40
Miriam Sherin,Unit 25,STILL,0:00:37,0:00:37,0:09:40,0:10:12
Miriam Sherin,Unit 26,PLAY,0:00:37,0:00:42,0:10:12,0:10:19
Miriam Sherin,Unit 27,FREV,0:00:42,0:00:30,0:10:19,0:10:25
Miriam Sherin,Unit 28,STILL,0:00:30,0:00:30,0:10:25,0:10:30
Miriam Sherin,Unit 29,PLAY,0:00:30,0:00:36,0:10:30,0:10:38
Miriam Sherin,Unit 30,STILL,0:00:36,0:00:36,0:10:38,0:10:43
Miriam Sherin,Unit 31,PLAY,0:00:36,0:00:41,0:10:43,0:10:46
Miriam Sherin,Unit 32,FREV,0:00:41,0:00:36,0:10:46,0:10:49
Miriam Sherin,Unit 33,STILL,0:00:36,0:00:36,0:10:49,0:10:54
Miriam Sherin,Unit 34,PLAY,0:00:36,0:00:40,0:10:54,0:10:58
Miriam Sherin,Unit 35,FREV,0:00:40,0:00:33,0:10:58,0:11:00
Miriam Sherin,Unit 36,STILL,0:00:33,0:00:33,0:11:00,0:11:19
Miriam Sherin,Unit 37,PLAY,0:00:33,0:00:47,0:11:19,0:11:33
Miriam Sherin,Unit 38,FREV,0:00:47,0:00:41,0:11:33,0:11:37
Miriam Sherin,Unit 39,PLAY,0:00:41,0:00:43,0:11:37,0:11:41
Miriam Sherin,Unit 40,FREV,0:00:43,0:00:32,0:11:41,0:11:44
Miriam Sherin,Unit 41,PLAY,0:00:32,0:00:41,0:11:44,0:11:54
Miriam Sherin,Unit 42,STILL,0:00:41,0:00:41,0:11:54,0:12:06
Miriam Sherin,Unit 43,PLAY,0:00:41,0:00:46,0:12:06,0:12:11
Miriam Sherin,Unit 44,STILL,0:00:46,0:00:46,0:12:11,0:12:13
Miriam Sherin,Unit 45,FREV,0:00:46,0:00:43,0:12:13,0:12:16
Miriam Sherin,Unit 46,STILL,0:00:43,0:00:43,0:12:16,0:12:25
Miriam Sherin,Unit 47,PLAY,0:00:43,0:00:50,0:12:25,0:12:32
Miriam Sherin,Unit 48,STILL,0:00:50,0:00:50,0:12:32,0:12:37
Miriam Sherin,Unit 49,FREV,0:00:50,0:00:31,0:12:37,0:12:44
Miriam Sherin,Unit 50,PLAY,0:00:31,0:00:47,0:12:44,0:13:00
Miriam Sherin,Unit 51,STILL,0:00:47,0:00:47,0:13:00,0:13:09
Miriam Sherin,Unit 52,FREV,0:00:47,0:00:42,0:13:09,0:13:13
Miriam Sherin,Unit 53,PLAY,0:00:42,0:00:49,0:13:13,0:13:20
Miriam Sherin,Unit 54,STILL,0:00:49,0:00:49,0:13:20,0:13:39
Miriam Sherin,Unit 55,PLAY,0:00:49,0:00:56,0:13:39,0:13:46
Miriam Sherin,Unit 56,STILL,0:00:56,0:00:56,0:13:46,0:14:09
Miriam Sherin,Unit 57,PLAY,0:00:56,0:00:57,0:14:09,0:14:10
Miriam Sherin,Unit 58,STILL,0:00:57,0:00:57,0:14:10,0:14:11
Miriam Sherin,Unit 59,FREV,0:00:57,0:00:46,0:14:11,0:14:13
Miriam Sherin,Unit 60,PLAY,0:00:46,0:01:01,0:14:13,0:14:28
Miriam Sherin,Unit 61,STILL,0:01:01,0:01:01,0:14:28,0:15:10
Miriam Sherin,Unit 62,FREV,0:01:01,0:00:47,0:15:10,0:15:13
Miriam Sherin,Unit 63,PLAY,0:00:47,0:01:00,0:15:13,0:15:26
Miriam Sherin,Unit 64,STILL,0:01:00,0:01:00,0:15:26,0:16:28
Miriam Sherin,Unit 65,PLAY,0:01:00,0:01:14,0:16:28,0:16:42
Miriam Sherin,Unit 66,STILL,0:01:14,0:01:14,0:16:42,0:17:15
Miriam Sherin,Unit 67,FREV,0:01:14,0:01:07,0:17:15,0:17:16
Miriam Sherin,Unit 68,PLAY,0:01:07,0:01:08,0:17:16,0:17:18
Miriam Sherin,Unit 69,STILL,0:01:08,0:01:08,0:17:18,0:17:19
Miriam Sherin,Unit 70,FREV,0:01:08,0:00:54,0:17:19,0:17:20
Miriam Sherin,Unit 71,PLAY,0:00:54,0:01:11,0:17:20,0:17:38
Miriam Sherin,Unit 72,STILL,0:01:11,0:01:11,0:17:38,0:19:10
Miriam Sherin,Unit 73,FREV,0:01:11,0:01:06,0:19:10,0:19:11
Miriam Sherin,Unit 74,PLAY,0:01:06,0:01:14,0:19:11,0:19:20
Miriam Sherin,Unit 75,STILL,0:01:14,0:01:14,0:19:20,0:19:25
Miriam Sherin,Unit 76,FREV,0:01:14,0:01:06,0:19:25,0:19:27
Miriam Sherin,Unit 77,PLAY,0:01:06,0:01:13,0:19:27,0:19:34
Miriam Sherin,Unit 78,STILL,0:01:13,0:01:13,0:19:34,0:19:38
Miriam Sherin,Unit 79,FREV,0:01:13,0:01:07,0:19:38,0:19:40
Miriam Sherin,Unit 80,PLAY,0:01:07,0:01:13,0:19:40,0:19:47
Miriam Sherin,Unit 81,STILL,0:01:13,0:01:13,0:19:47,0:19:52
Miriam Sherin,Unit 82,FREV,0:01:13,0:01:09,0:19:52,0:19:53
Miriam Sherin,Unit 83,STILL,0:01:09,0:01:09,0:19:53,0:20:00
Miriam Sherin,Unit 84,PLAY,0:01:09,0:01:13,0:20:00,0:20:04
Miriam Sherin,Unit 85,STILL,0:01:13,0:01:13,0:20:04,0:20:06
Miriam Sherin,Unit 86,FREV,0:01:13,0:01:10,0:20:06,0:20:08
Miriam Sherin,Unit 87,PLAY,0:01:10,0:01:17,0:20:08,0:20:18
Miriam Sherin,Unit 88,STILL,0:01:17,0:01:17,0:20:18,0:20:44
Miriam Sherin,Unit 89,FREV,0:01:17,0:01:14,0:20:44,0:20:46
Miriam Sherin,Unit 90,PLAY,0:01:14,0:01:29,0:20:46,0:21:02
Miriam Sherin,Unit 91,STILL,0:01:29,0:01:29,0:21:02,0:21:30
Miriam Sherin,Unit 92,FREV,0:01:29,0:01:24,0:21:30,0:21:32
Miriam Sherin,Unit 93,PLAY,0:01:24,0:01:29,0:21:32,0:21:37
Miriam Sherin,Unit 94,STILL,0:01:29,0:01:29,0:21:37,0:21:42
Miriam Sherin,Unit 95,FREV,0:01:29,0:01:20,0:21:42,0:21:44
Miriam Sherin,Unit 96,PLAY,0:01:20,0:01:21,0:21:44,0:21:46
Miriam Sherin,Unit 97,STILL,0:01:21,0:01:21,0:21:46,0:21:57
Miriam Sherin,Unit 98,PLAY,0:01:21,0:01:23,0:21:57,0:22:00
Miriam Sherin,Unit 99,STILL,0:01:23,0:01:23,0:22:00,0:22:05
Miriam Sherin,Unit 100,PLAY,0:01:23,0:01:40,0:22:05,0:22:22
Miriam Sherin,Unit 101,STILL,0:01:40,0:01:40,0:22:22,0:22:27
Miriam Sherin,Unit 102,FREV,0:01:40,0:01:37,0:22:27,0:22:31
Miriam Sherin,Unit 103,PLAY,0:01:37,0:01:43,0:22:31,0:22:37
Miriam Sherin,Unit 104,STILL,0:01:43,0:01:43,0:22:37,0:22:43
Miriam Sherin,Unit 105,PLAY,0:01:43,0:01:52,0:22:43,0:22:53
Miriam Sherin,Unit 106,STILL,0:01:52,0:01:52,0:22:53,0:22:58
Miriam Sherin,Unit 107,PLAY,0:01:52,0:01:53,0:22:58,0:23:00
Miriam Sherin,Unit 108,FREV,0:01:53,0:01:39,0:23:00,0:23:04
Miriam Sherin,Unit 109,STILL,0:01:39,0:01:39,0:23:04,0:23:49
Miriam Sherin,Unit 110,PLAY,0:01:39,0:01:53,0:23:49,0:24:04
Miriam Sherin,Unit 111,STILL,0:01:53,0:01:53,0:24:04,0:24:17
Miriam Sherin,Unit 112,PLAY,0:01:53,0:01:57,0:24:17,0:24:22
Miriam Sherin,Unit 113,FREV,0:01:57,0:01:50,0:24:22,0:24:24
Miriam Sherin,Unit 114,PLAY,0:01:50,0:01:58,0:24:24,0:24:31
Miriam Sherin,Unit 115,STILL,0:01:58,0:01:58,0:24:31,0:24:37
Miriam Sherin,Unit 116,FREV,0:01:58,0:01:48,0:24:37,0:24:38
Miriam Sherin,Unit 117,JREV,0:01:48,0:01:06,0:24:38,0:24:39
Miriam Sherin,Unit 118,PLAY,0:01:06,0:01:20,0:24:39,0:24:55
Miriam Sherin,Unit 119,STILL,0:01:20,0:01:20,0:24:55,0:25:04
Miriam Sherin,Unit 120,PLAY,0:01:20,0:01:49,0:25:04,0:25:33
Miriam Sherin,Unit 121,STILL,0:01:49,0:01:49,0:25:33,0:25:41
Miriam Sherin,Unit 122,FREV,0:01:49,0:01:45,0:25:41,0:25:44
Miriam Sherin,Unit 123,STILL,0:01:45,0:01:45,0:25:44,0:25:48
Miriam Sherin,Unit 124,PLAY,0:01:45,0:01:56,0:25:48,0:25:59
Miriam Sherin,Unit 125,STILL,0:01:56,0:01:56,0:25:59,0:26:04
Miriam Sherin,Unit 126,PLAY,0:01:56,0:01:58,0:26:04,0:26:06
Miriam Sherin,Unit 127,STILL,0:01:58,0:01:58,0:26:06,0:26:12
Miriam Sherin,Unit 128,FREV,0:01:58,0:01:54,0:26:12,0:26:14
Miriam Sherin,Unit 129,PLAY,0:01:54,0:01:59,0:26:14,0:26:20
Miriam Sherin,Unit 130,STILL,0:01:59,0:01:59,0:26:20,0:30:09
