Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst,OldTStartVid,OldTEndVid,OldTStartAnalyst,OldTEndAnalyst
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 1,STILL,0,0,0,139,0:00:00,0:00:00,0:00:00,0:02:19
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 2,PLAY,0,119,139,259,0:00:00,0:01:59,0:02:19,0:04:19
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 3,FREV,119,1,259,261,0:01:59,0:00:01,0:04:19,0:04:21
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 4,STILL,1,1,261,299,0:00:01,0:00:01,0:04:21,0:04:59
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 5,FFW,1,119,299,304,0:00:01,0:01:59,0:04:59,0:05:04
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 6,STILL,119,119,304,310,0:01:59,0:01:59,0:05:04,0:05:10
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 7,FREV,119,0,310,322,0:01:59,0:00:00,0:05:10,0:05:22
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 8,STILL,0,0,322,361,0:00:00,0:00:00,0:05:22,0:06:01
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 9,FFW,0,80,361,382,0:00:00,0:01:20,0:06:01,0:06:22
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 10,STILL,80,80,382,405,0:01:20,0:01:20,0:06:22,0:06:45
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 11,FFW,80,90,405,407,0:01:20,0:01:30,0:06:45,0:06:47
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 12,STILL,90,90,407,439,0:01:30,0:01:30,0:06:47,0:07:19
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 13,FFW,90,119,439,449,0:01:30,0:01:59,0:07:19,0:07:29
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 14,STILL,119,119,449,500,0:01:59,0:01:59,0:07:29,0:08:20
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 15,FREV,119,65,500,508,0:01:59,0:01:05,0:08:20,0:08:28
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 16,FFW,65,67,508,510,0:01:05,0:01:07,0:08:28,0:08:30
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 17,STILL,67,67,510,511,0:01:07,0:01:07,0:08:30,0:08:31
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 18,FFW,67,72,511,514,0:01:07,0:01:12,0:08:31,0:08:34
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 19,FREV,72,61,514,518,0:01:12,0:01:01,0:08:34,0:08:38
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 20,FFW,61,86,518,525,0:01:01,0:01:26,0:08:38,0:08:45
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 21,FREV,86,76,525,528,0:01:26,0:01:16,0:08:45,0:08:48
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 22,FREV,76,16,528,530,0:01:16,0:00:16,0:08:48,0:08:50
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 23,FFW,16,17,530,532,0:00:16,0:00:17,0:08:50,0:08:52
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 24,STILL,17,17,532,547,0:00:17,0:00:17,0:08:52,0:09:07
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 25,FREV,17,0,547,549,0:00:17,0:00:00,0:09:07,0:09:09
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 26,STILL,0,0,549,603,0:00:00,0:00:00,0:09:09,0:10:03
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 27,PLAY,0,37,603,641,0:00:00,0:00:37,0:10:03,0:10:41
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 28,STILL,37,37,641,649,0:00:37,0:00:37,0:10:41,0:10:49
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 29,FREV,37,11,649,652,0:00:37,0:00:11,0:10:49,0:10:52
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 30,FFW,11,18,652,654,0:00:11,0:00:18,0:10:52,0:10:54
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 31,FREv,18,3,654,659,0:00:18,0:00:03,0:10:54,0:10:59
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 32,FFW,3,20,659,665,0:00:03,0:00:20,0:10:59,0:11:05
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 33,STILL,20,20,665,687,0:00:20,0:00:20,0:11:05,0:11:27
